Channel = MuMu
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_DYTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_VBFTypeI_DF_M100_private.root
/data6/Users/jalmond/2020/HNDiLeptonWorskspace/InputFiles/MergedFiles/Run2UltraLegacy_v3//HNL_SignalLeptonOpt/2018/LF_Bin1__MuID_NP__EC__/SIG/HNL_SignalLeptonOpt_SSWWTypeI_SF_M100_private.root
LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFECneg1_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFEC0_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 2.98       NBkg = 4.443      s/sqrt(B+1) = 1.277      Punzi = 0.959      Azimoth = 1.414     
Bin SR1_MNbin2           NSig = 0.945      NBkg = 0.154      s/sqrt(B+1) = 0.879      Punzi = 0.679      Azimoth = 2.406     
Bin SR1_MNbin3           NSig = 3.039      NBkg = 0.725      s/sqrt(B+1) = 2.314      Punzi = 1.641      Azimoth = 3.566     
Bin SR1_MNbin4           NSig = 0.0        NBkg = 0.427      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin5           NSig = 0.0        NBkg = 0.26       s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin6           NSig = 0.0        NBkg = 0.116      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin7           NSig = 0.0        NBkg = 0.253      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin8           NSig = 0.0        NBkg = 0.044      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR2_HTLTbin1         NSig = 0.983      NBkg = 0.344      s/sqrt(B+1) = 0.848      Punzi = 0.62       Azimoth = 1.677     
Bin SR2_HTLTbin2         NSig = 1.919      NBkg = 0.437      s/sqrt(B+1) = 1.601      Punzi = 1.156      Azimoth = 2.903     
Bin SR3_BDTbin1          NSig = 708.59     NBkg = 1191.443   s/sqrt(B+1) = 20.52      Punzi = 19.951     Azimoth = 20.527    
Bin SR3_BDTbin2          NSig = 2433.212   NBkg = 376.969    s/sqrt(B+1) = 125.156    Punzi = 119.183    Azimoth = 125.187   
Bin SR3_BDTbin3          NSig = 919.092    NBkg = 37.959     s/sqrt(B+1) = 147.249    Punzi = 128.345    Azimoth = 148.58    
Bin SR3_BDTbin4          NSig = 975.047    NBkg = 25.665     s/sqrt(B+1) = 188.822    Punzi = 160.737    Azimoth = 191.265   
Bin SR3_BDTbin5          NSig = 1775.729   NBkg = 25.225     s/sqrt(B+1) = 346.755    Punzi = 294.854    Azimoth = 349.53    
Bin SR3_BDTbin6          NSig = 658.501    NBkg = 0.2        s/sqrt(B+1) = 601.126    Punzi = 455.013    Azimoth = 1088.323  
Bin SR3_BDTbin7          NSig = 458.012    NBkg = 1.335      s/sqrt(B+1) = 299.756    Punzi = 212.509    Azimoth = 376.517   
Bin SR3_BDTbin8          NSig = 256.234    NBkg = 0.353      s/sqrt(B+1) = 220.308    Punzi = 160.757    Azimoth = 390.62    
Bin SR3_BDTbin9          NSig = 171.245    NBkg = 0.388      s/sqrt(B+1) = 145.338    Punzi = 105.504    Azimoth = 257.619   
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFEC0p02_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 2.98       NBkg = 4.443      s/sqrt(B+1) = 1.277      Punzi = 0.959      Azimoth = 1.414     
Bin SR1_MNbin2           NSig = 0.945      NBkg = 0.154      s/sqrt(B+1) = 0.879      Punzi = 0.679      Azimoth = 2.406     
Bin SR1_MNbin3           NSig = 3.039      NBkg = 0.725      s/sqrt(B+1) = 2.314      Punzi = 1.641      Azimoth = 3.566     
Bin SR1_MNbin4           NSig = 0.0        NBkg = 0.427      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin5           NSig = 0.0        NBkg = 0.26       s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin6           NSig = 0.0        NBkg = 0.116      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin7           NSig = 0.0        NBkg = 0.253      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin8           NSig = 0.0        NBkg = 0.044      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR2_HTLTbin1         NSig = 0.983      NBkg = 0.344      s/sqrt(B+1) = 0.848      Punzi = 0.62       Azimoth = 1.677     
Bin SR2_HTLTbin2         NSig = 1.919      NBkg = 0.437      s/sqrt(B+1) = 1.601      Punzi = 1.156      Azimoth = 2.903     
Bin SR3_BDTbin1          NSig = 708.59     NBkg = 1190.437   s/sqrt(B+1) = 20.529     Punzi = 19.959     Azimoth = 20.535    
Bin SR3_BDTbin2          NSig = 2430.171   NBkg = 377.343    s/sqrt(B+1) = 124.938    Punzi = 118.978    Azimoth = 124.969   
Bin SR3_BDTbin3          NSig = 917.166    NBkg = 37.861     s/sqrt(B+1) = 147.127    Punzi = 128.219    Azimoth = 148.462   
Bin SR3_BDTbin4          NSig = 975.047    NBkg = 25.659     s/sqrt(B+1) = 188.845    Punzi = 160.755    Azimoth = 191.29    
Bin SR3_BDTbin5          NSig = 1772.8     NBkg = 25.221     s/sqrt(B+1) = 346.207    Punzi = 294.385    Azimoth = 348.985   
Bin SR3_BDTbin6          NSig = 657.361    NBkg = 0.2        s/sqrt(B+1) = 600.086    Punzi = 454.225    Azimoth = 1086.797  
Bin SR3_BDTbin7          NSig = 458.012    NBkg = 1.335      s/sqrt(B+1) = 299.756    Punzi = 212.509    Azimoth = 376.517   
Bin SR3_BDTbin8          NSig = 256.234    NBkg = 0.353      s/sqrt(B+1) = 220.308    Punzi = 160.757    Azimoth = 390.62    
Bin SR3_BDTbin9          NSig = 171.245    NBkg = 0.388      s/sqrt(B+1) = 145.338    Punzi = 105.504    Azimoth = 257.619   
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFEC0p04_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 2.98       NBkg = 4.443      s/sqrt(B+1) = 1.277      Punzi = 0.959      Azimoth = 1.414     
Bin SR1_MNbin2           NSig = 0.945      NBkg = 0.154      s/sqrt(B+1) = 0.879      Punzi = 0.679      Azimoth = 2.406     
Bin SR1_MNbin3           NSig = 3.039      NBkg = 0.725      s/sqrt(B+1) = 2.314      Punzi = 1.641      Azimoth = 3.566     
Bin SR1_MNbin4           NSig = 0.0        NBkg = 0.427      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin5           NSig = 0.0        NBkg = 0.26       s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin6           NSig = 0.0        NBkg = 0.116      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin7           NSig = 0.0        NBkg = 0.252      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR1_MNbin8           NSig = 0.0        NBkg = 0.044      s/sqrt(B+1) = 0.0        Punzi = 0.0        Azimoth = 0.0       
Bin SR2_HTLTbin1         NSig = 0.983      NBkg = 0.344      s/sqrt(B+1) = 0.848      Punzi = 0.62       Azimoth = 1.677     
Bin SR2_HTLTbin2         NSig = 1.919      NBkg = 0.437      s/sqrt(B+1) = 1.601      Punzi = 1.156      Azimoth = 2.903     
Bin SR3_BDTbin1          NSig = 708.59     NBkg = 1187.231   s/sqrt(B+1) = 20.556     Punzi = 19.985     Azimoth = 20.563    
Bin SR3_BDTbin2          NSig = 2429.222   NBkg = 377.026    s/sqrt(B+1) = 124.941    Punzi = 118.979    Azimoth = 124.973   
Bin SR3_BDTbin3          NSig = 915.999    NBkg = 37.851     s/sqrt(B+1) = 146.958    Punzi = 128.07     Azimoth = 148.292   
Bin SR3_BDTbin4          NSig = 975.982    NBkg = 25.566     s/sqrt(B+1) = 189.356    Punzi = 161.152    Azimoth = 191.815   
Bin SR3_BDTbin5          NSig = 1772.004   NBkg = 25.173     s/sqrt(B+1) = 346.371    Punzi = 294.489    Azimoth = 349.157   
Bin SR3_BDTbin6          NSig = 657.361    NBkg = 0.2        s/sqrt(B+1) = 600.086    Punzi = 454.225    Azimoth = 1086.797  
Bin SR3_BDTbin7          NSig = 456.13     NBkg = 1.335      s/sqrt(B+1) = 298.524    Punzi = 211.635    Azimoth = 375.042   
Bin SR3_BDTbin8          NSig = 256.339    NBkg = 0.353      s/sqrt(B+1) = 220.397    Punzi = 160.823    Azimoth = 390.766   
Bin SR3_BDTbin9          NSig = 171.245    NBkg = 0.388      s/sqrt(B+1) = 145.338    Punzi = 105.504    Azimoth = 257.619   
GetSignificance for ID [V^{2}_{lN} = 0.1)]==LimitInputBDT/MuMu/HNLOpt_UL_MuOpt_HNLUL_MVALFEC0p06_MVAHFBB0p68_MVAHFEC0p64_NPMMEDv4/100/LimitBins/MuonSR
Bin SR1_MNbin1           NSig = 2.98       NBkg = 4.443      s/sqrt(B+1) = 1.277      Punzi = 0.959      Azimoth = 1.414     
